epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3518.12,1.70931,2.93703,1.89147,0.36507,0.4304,0.30118,0.18333,1.30651,2.46967,1.38647,0.00999221,0.00333074,0.00999221,0.00333074,0.00999221,0.00333074,0.00999221,0.00333074
2,6996.8,1.5847,2.45746,1.82218,0.36788,0.40375,0.29977,0.17612,1.37584,2.23804,1.45988,0.0195964,0.00653212,0.0195964,0.00653212,0.0195964,0.00653212,0.0195964,0.00653212
3,10473,1.63611,2.4951,1.88083,0.34046,0.33685,0.25223,0.1498,1.50454,2.32721,1.56853,0.0288045,0.00960151,0.0288045,0.00960151,0.0288045,0.00960151,0.0288045,0.00960151
4,13960.1,1.63554,2.49329,1.90495,0.32924,0.41153,0.30132,0.17991,1.37468,2.14792,1.50197,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,17441.9,1.56299,2.35486,1.8491,0.43771,0.45527,0.34526,0.21193,1.30786,1.78591,1.4211,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,20912.9,1.50415,2.25435,1.79953,0.43645,0.47817,0.37858,0.24053,1.25029,1.71075,1.38746,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,24381.8,1.4672,2.18413,1.76771,0.43444,0.50789,0.40014,0.2579,1.19561,1.6271,1.3535,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,27868.6,1.43527,2.12216,1.73717,0.45035,0.49815,0.41346,0.27085,1.15638,1.56603,1.3233,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,31350.7,1.40994,2.07164,1.71654,0.45856,0.52623,0.41651,0.26871,1.18499,1.56156,1.31734,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,34848.7,1.39634,2.04676,1.70791,0.47493,0.52161,0.42618,0.28199,1.14352,1.48376,1.28801,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,38392.7,1.37462,2.00762,1.68999,0.45908,0.54081,0.44622,0.296,1.13241,1.45337,1.27445,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,42013.5,1.36036,1.96623,1.6764,0.47692,0.56168,0.45906,0.30843,1.0738,1.3874,1.23573,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,45745.4,1.34534,1.94891,1.66541,0.48888,0.55427,0.4536,0.30512,1.092,1.37157,1.2455,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,49284.9,1.33662,1.91646,1.65008,0.48252,0.55566,0.47017,0.31849,1.05552,1.34657,1.22569,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
