epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2517.37,1.14259,2.60286,1.23395,0.40475,0.46425,0.3657,0.23983,1.11423,2.26656,1.22635,0.00998853,0.00332951,0.00998853,0.00332951,0.00998853,0.00332951,0.00998853,0.00332951
2,4993.81,1.16166,1.95809,1.20241,0.40351,0.4332,0.31566,0.18586,1.2878,2.30176,1.39263,0.0195928,0.00653092,0.0195928,0.00653092,0.0195928,0.00653092,0.0195928,0.00653092
3,7491.68,1.25606,1.92422,1.25769,0.36711,0.36622,0.27135,0.1586,1.44356,2.31374,1.49247,0.028801,0.00960033,0.028801,0.00960033,0.028801,0.00960033,0.028801,0.00960033
4,9855.31,1.28317,1.86827,1.28137,0.41442,0.41025,0.34638,0.21264,1.32295,1.9875,1.4088,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,12344,1.22852,1.73906,1.24945,0.40646,0.48182,0.38626,0.24874,1.17856,1.7129,1.3009,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,14722.9,1.16874,1.61912,1.21653,0.45482,0.50822,0.40748,0.26773,1.14109,1.55695,1.26449,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,17103.4,1.13724,1.55631,1.19638,0.48724,0.52173,0.44155,0.29105,1.1399,1.45926,1.2421,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,19482.1,1.10378,1.4914,1.17167,0.49475,0.51998,0.43844,0.29466,1.0776,1.44145,1.21846,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,21860.4,1.07525,1.4493,1.1588,0.49047,0.54761,0.44992,0.31017,1.04631,1.36947,1.19121,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,24239.7,1.06239,1.41028,1.15197,0.48631,0.54533,0.46978,0.31943,1.0322,1.3492,1.18852,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,26620.7,1.0432,1.37782,1.13861,0.49633,0.55675,0.46272,0.31902,1.02888,1.34139,1.17896,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,29001.8,1.02726,1.34964,1.1267,0.50669,0.56708,0.47423,0.3287,1.00868,1.29183,1.16342,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,31386.2,1.01522,1.31473,1.11855,0.48349,0.57277,0.48563,0.33804,0.99814,1.28213,1.15986,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,33767.6,0.99919,1.28693,1.10904,0.5123,0.56712,0.49515,0.34936,0.96364,1.24512,1.1367,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,36148.2,0.9805,1.26578,1.09992,0.51696,0.573,0.48648,0.34276,0.96804,1.22569,1.13993,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,38528.3,0.9772,1.25116,1.0983,0.51648,0.58604,0.49605,0.34641,0.96844,1.21499,1.13264,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,40907.9,0.96633,1.23158,1.09068,0.51703,0.5827,0.4963,0.34884,0.95811,1.22121,1.12567,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,43289.5,0.95561,1.20594,1.08462,0.51709,0.58993,0.50394,0.35742,0.94042,1.18764,1.11498,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,45668.4,0.94094,1.179,1.07572,0.51307,0.59816,0.50646,0.36025,0.94753,1.19083,1.11869,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,48050.6,0.93556,1.16745,1.0718,0.53845,0.57828,0.51442,0.36482,0.93418,1.15919,1.11238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,50429.6,0.93318,1.15537,1.06898,0.5257,0.58263,0.51269,0.36725,0.92013,1.15104,1.10419,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,52876.9,0.91461,1.13595,1.0615,0.52173,0.59131,0.5129,0.36704,0.91616,1.14875,1.10542,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,55239.7,0.91093,1.12063,1.05779,0.52593,0.58977,0.51909,0.37212,0.91311,1.1207,1.09749,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,57625.6,0.90119,1.09515,1.05184,0.51519,0.5777,0.51229,0.36852,0.90686,1.13188,1.09349,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
